01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1960,,Portugal,,,,,,75
1961,,Portugal,,,,,,81
1962,,Portugal,,,,,,98
1963,,Portugal,,,,,,112
1964,,Portugal,,,,,,127
1965,,Portugal,,,,,,137
1966,,Portugal,,,,,,145
1967,,Portugal,,,,,,148
1968,,Portugal,,,,,,149
1969,,Portugal,,,,,,154
1970,,Portugal,,,,,,171
1971,,Portugal,,,,,,188
1972,,Portugal,,,,,,201
1973,,Portugal,,,,,,232
1974,,Portugal,,,,,,397
1975,,Portugal,,,,,,557
1976,,Portugal,,,,,,828
1977,,Portugal,,,,,,1219
1978,,Portugal,,,,,,1650
1979,,Portugal,,,,,,2226
1980,,Portugal,,,,,,2535
1981,,Portugal,,,,,,3779
1982,,Portugal,,,,,,5002
1983,,Portugal,,,,,,6944
1984,,Portugal,,,,,,9023
1985,,Portugal,,,,,,12731
1986,,Portugal,,,,,,15998
1987,,Portugal,,,,,,20644
1988,,Portugal,,,,,,24392
1989,,Portugal,,,,,,27642
1990,,Portugal,,,,,,31450
1991,,Portugal,,,,,,37564
1992,,Portugal,,,,,,37931
1993,,Portugal,,,,,,43735
1994,,Portugal,,,,,,49364
1995,,Portugal,,,,,,55389
1995,Alemanha,,,,,,r,1082715
1995,Áustria,,,,,,,125246
1995,Bélgica,,,,,,,288069
1995,Bulgária,,,,,,x,
1995,Chéquia,,,,,,,6200
1995,Chipre,,,,,,,3732
1995,Croácia,,,,,,,4070
1995,Dinamarca,,,,,,x,
1995,Eslováquia,,,,,,,3309
1995,Eslovénia,,,,,,,2788
1995,Espanha,,,,,,r,295604
1995,Estónia,,,,,,,236
1995,Finlândia,,,,,,,56527
1995,França,,,,,,,714689
1995,Grécia,,,,,,,100753
1995,Hungria,,,,,,,26792
1995,Irlanda,,,,,,,41333
1995,Itália,,,,,,r,1096650
1995,Letónia,,,,,,,561
1995,Lituânia,,,,,,,588
1995,Luxemburgo,,,,,,,1610
1995,Malta,,,,,,,968
1995,Países Baixos,,,,,,,252354
1995,Polónia,,,,,,,50554
1995,Portugal,,,,,,,56510
1995,Roménia,,,,,,,1487
1995,Suécia,,,,,,,150616
1996,,Portugal,,,,,,59736
1996,Alemanha,,,,,,r,1118507
1996,Áustria,,,,,,,125177
1996,Bélgica,,,,,,,278080
1996,Bulgária,,,,,,x,
1996,Chéquia,,,,,,,6184
1996,Chipre,,,,,,,4045
1996,Croácia,,,,,,,4757
1996,Dinamarca,,,,,,x,
1996,Eslováquia,,,,,,,5090
1996,Eslovénia,,,,,,,3540
1996,Espanha,,,,,,r,324301
1996,Estónia,,,,,,,277
1996,Finlândia,,,,,,,57713
1996,França,,,,,,,755313
1996,Grécia,,,,,,,114955
1996,Hungria,,,,,,,24590
1996,Irlanda,,,,,,,44447
1996,Itália,,,,,,r,1260410
1996,Letónia,,,,,,,626
1996,Lituânia,,,,,,,931
1996,Luxemburgo,,,,,,,1606
1996,Malta,,,,,,,1177
1996,Países Baixos,,,,,,,248591
1996,Polónia,,,,,,,50752
1996,Portugal,,,,,,,61112
1996,Roménia,,,,,,,2334
1996,Suécia,,,,,,,157287
1997,,Portugal,,,,,,60084
1997,Alemanha,,,,,,r,1145212
1997,Áustria,,,,,,,118775
1997,Bélgica,,,,,,,275572
1997,Bulgária,,,,,,,9267
1997,Chéquia,,,,,,,6320
1997,Chipre,,,,,,,4633
1997,Croácia,,,,,,,5275
1997,Dinamarca,,,,,,x,
1997,Eslováquia,,,,,,,6324
1997,Eslovénia,,,,,,,3915
1997,Espanha,,,,,,r,331630
1997,Estónia,,,,,,,311
1997,Finlândia,,,,,,,57457
1997,França,,,,,,,793024
1997,Grécia,,,,,,,124580
1997,Hungria,,,,,,,24505
1997,Irlanda,,,,,,,43599
1997,Itália,,,,,,r,1271894
1997,Letónia,,,,,,,620
1997,Lituânia,,,,,,,1409
1997,Luxemburgo,,,,,,,1625
1997,Malta,,,,,,,1569
1997,Países Baixos,,,,,,,240681
1997,Polónia,,,,,,,56878
1997,Portugal,,,,,,,59592
1997,Roménia,,,,,,,4335
1997,Suécia,,,,,,,156972
1998,,Portugal,,,,,,61930
1998,Alemanha,,,,,,r,1202026
1998,Áustria,,,,,,,125650
1998,Bélgica,,,,,,,277255
1998,Bulgária,,,,,,,9126
1998,Chéquia,,,,,,,8552
1998,Chipre,,,,,,,5141
1998,Croácia,,,,,,,5049
1998,Dinamarca,,,,,,x,
1998,Eslováquia,,,,,,,6325
1998,Eslovénia,,,,,,,4429
1998,Espanha,,,,,,,346417
1998,Estónia,,,,,,,302
1998,Finlândia,,,,,,,56414
1998,França,,,,,,,836059
1998,Grécia,,,,,,,126131
1998,Hungria,,,,,,,25040
1998,Irlanda,,,,,,,41353
1998,Itália,,,,,,r,1299741
1998,Letónia,,,,,,,575
1998,Lituânia,,,,,,,1593
1998,Luxemburgo,,,,,,,1646
1998,Malta,,,,,,,1790
1998,Países Baixos,,,,,,,247875
1998,Polónia,,,,,,,56959
1998,Portugal,,,,,,,61930
1998,Roménia,,,,,,,4852
1998,Suécia,,,,,,,150105
1999,,Portugal,,,,,,66267
1999,Alemanha,,,,,,,1253598
1999,Áustria,,,,,,,136216
1999,Bélgica,,,,,,,279531
1999,Bulgária,,,,,,,9648
1999,Chéquia,,,,,,,9475
1999,Chipre,,,,,,,5583
1999,Croácia,,,,,,,6294
1999,Dinamarca,,,,,,x,
1999,Eslováquia,,,,,,,9581
1999,Eslovénia,,,,,,,4921
1999,Espanha,,,,,,r,362224
1999,Estónia,,,,,,,348
1999,Finlândia,,,,,,,55913
1999,França,,,,,,,856944
1999,Grécia,,,,,,,136513
1999,Hungria,,,,,,,27599
1999,Irlanda,,,,,,,43213
1999,Itália,,,,,,r,1331321
1999,Letónia,,,,,,,905
1999,Lituânia,,,,,,,2480
1999,Luxemburgo,,,,,,,1659
1999,Malta,,,,,,,2442
1999,Países Baixos,,,,,,,246600
1999,Polónia,,,,,,,63106
1999,Portugal,,,,,,,66267
1999,Roménia,,,,,,,6527
1999,Suécia,,,,,,,160790
2000,,Portugal,,,,,,69592
2000,Alemanha,,,,,,,1261585
2000,Áustria,,,,,,,141543
2000,Bélgica,,,,,,,280960
2000,Bulgária,,,,,,,10177
2000,Chéquia,,,,,,,11568
2000,Chipre,,,,,,,6103
2000,Croácia,,,,,,,8441
